date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_SM_iStatusSignals
20.09.2015,14:01:21.9573514,1.053639458,0.51213598,0.985914614,0.390249313,0.096782823,-0.000515628,0.095597439,34154
20.09.2015,14:01:21.9620974,0.977796055,0.51213598,0.986246684,0.390249313,0.09632791,-0.000515628,0.095081811,34154
20.09.2015,14:01:21.9668586,1.039359616,0.512154749,0.985969959,0.38551889,0.096100453,-0.000515628,0.094772434,34154
20.09.2015,14:01:21.9718480,0.995547372,0.512069931,0.986191339,0.384724203,0.095816132,-0.000515628,0.094463057,34154
20.09.2015,14:01:21.9765294,1.014813761,0.512069931,0.986080649,0.384724203,0.09564554,-0.000515628,0.094359931,34154
20.09.2015,14:01:21.9812748,1.00526428,0.51191522,0.986135994,0.380791982,0.095702404,-0.000515628,0.094256806,34154
20.09.2015,14:01:21.9860580,0.975835591,0.511926797,0.986246684,0.383469978,0.09564554,-0.000515628,0.094256806,34154
20.09.2015,14:01:21.9909194,1.023539908,0.511926797,0.986080649,0.386943299,0.095702404,-0.000515628,0.094256806,34154
20.09.2015,14:01:21.9957684,0.955664522,0.511926797,0.986357374,0.386943299,0.095759268,-0.000515628,0.094359931,34154
20.09.2015,14:01:22.0004826,1.019238553,0.512170966,0.986080649,0.380725208,0.095986725,-0.000618754,0.094463057,34154
20.09.2015,14:01:22.0051820,0.960336039,0.512093611,0.986357374,0.383190101,0.096043589,-0.000721879,0.094566183,34154
20.09.2015,14:01:22.0099360,1.007859506,0.512093611,0.986135994,0.383190101,0.096100453,-0.000721879,0.094669308,34154
20.09.2015,14:01:22.0148556,0.961861364,0.512178429,0.986357374,0.378960964,0.096214182,-0.000721879,0.094772434,34154
20.09.2015,14:01:22.0197158,0.979430783,0.512019508,0.986246684,0.38844641,0.096100453,-0.000618754,0.094772434,34154
20.09.2015,14:01:22.0244634,1.000165396,0.512080024,0.986191339,0.385353712,0.095986725,-0.000618754,0.094566183,34154
20.09.2015,14:01:22.0291368,0.968064471,0.512080024,0.986302029,0.385353712,0.095702404,-0.000515628,0.094463057,34154
20.09.2015,14:01:22.0340250,1.019064209,0.512009096,0.986080649,0.384274675,0.095759268,-0.000618754,0.094256806,34154
20.09.2015,14:01:22.0388608,0.96932629,0.51190385,0.986302029,0.38216261,0.095531812,-0.000618754,0.09415368,34154
20.09.2015,14:01:22.0437254,1.034115006,0.51190385,0.986025304,0.38216261,0.095474947,-0.000618754,0.094050555,34154
20.09.2015,14:01:22.0483342,0.973464503,0.511978574,0.986302029,0.38203609,0.095418083,-0.000515628,0.093947429,34154
20.09.2015,14:01:22.0533244,1.006822045,0.511974301,0.986135994,0.388984011,0.095361219,-0.000515628,0.093844303,34154
20.09.2015,14:01:22.0580518,1.002308045,0.512223732,0.986191339,0.382015004,0.095361219,-0.000412502,0.093844303,34154
