date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_AVRSetpt_iSelInput
20.09.2015,10:54:24.3812800,0.959606106,0.508239324,1.000525676,0.372544148,1
20.09.2015,10:54:24.3860536,0.912551857,0.50829866,1.000747056,0.360222025,1
20.09.2015,10:54:24.3909504,0.949338137,0.50829866,1.000581021,0.360222025,1
20.09.2015,10:54:24.3957846,0.930376193,0.508225897,1.000691711,0.373025784,1
20.09.2015,10:54:24.4004826,0.951847205,0.50825106,1.000581021,0.365430409,1
20.09.2015,10:54:24.4053158,0.939182281,0.508186382,1.000636366,0.376151071,1
20.09.2015,10:54:24.4100594,0.939275539,0.508186382,1.000636366,0.376151071,1
20.09.2015,10:54:24.4149128,0.96499377,0.508211785,1.000525676,0.357413995,1
20.09.2015,10:54:24.4197130,0.927609182,0.508261409,1.000691711,0.375259151,1
20.09.2015,10:54:24.4244480,0.965377627,0.508261409,1.000525676,0.375259151,1
20.09.2015,10:54:24.4291378,0.929451593,0.508359766,1.000691711,0.367011903,1
20.09.2015,10:54:24.4340256,0.964412078,0.508345048,1.000525676,0.36963649,1
20.09.2015,10:54:24.4388640,0.940169224,0.508278584,1.000636366,0.359670259,1
20.09.2015,10:54:24.4437162,0.94927757,0.508278584,1.000581021,0.359670259,1
20.09.2015,10:54:24.4483362,0.961075497,0.508325529,1.000525676,0.373931975,1
20.09.2015,10:54:24.4533408,0.946308871,0.508318146,1.000581021,0.361736744,1
20.09.2015,10:54:24.4580608,0.961909593,0.508355763,1.000525676,0.378095456,1
20.09.2015,10:54:24.4629306,0.938094522,0.508355763,1.000636366,0.378095456,1
20.09.2015,10:54:24.4678488,0.970577952,0.508295136,1.000470331,0.365514756,1
20.09.2015,10:54:24.4726146,0.9213573,0.508335639,1.000691711,0.368983604,1
20.09.2015,10:54:24.4773008,0.965738397,0.508335639,1.000470331,0.368983604,1
20.09.2015,10:54:24.4821106,0.930741067,0.508419054,1.000636366,0.364513143,1
20.09.2015,10:54:24.4869344,0.943082551,0.50844326,1.000581021,0.372125398,1
20.09.2015,10:54:24.4917798,0.948198181,0.508384499,1.000581021,0.370763876,1
20.09.2015,10:54:24.4964604,0.925037679,0.508384499,1.000691711,0.370763876,1
20.09.2015,10:54:24.5013318,0.962901575,0.508462412,1.000525676,0.372198083,1
20.09.2015,10:54:24.5059824,0.915335532,0.508467674,1.000747056,0.361300954,1
20.09.2015,10:54:24.5109036,0.952287573,0.508467674,1.000581021,0.361300954,1
20.09.2015,10:54:24.5156320,0.919053642,0.508530136,1.000747056,0.361550479,1
20.09.2015,10:54:24.5204788,0.956022262,0.508344234,1.000581021,0.367185494,1
20.09.2015,10:54:24.5251860,0.930528749,0.508456847,1.000691711,0.364070325,1
20.09.2015,10:54:24.5299954,0.941206328,0.508456847,1.000636366,0.364070325,1
20.09.2015,10:54:24.5347392,0.953092122,0.508363402,1.000581021,0.368855168,1
20.09.2015,10:54:24.5397198,0.930433939,0.508439816,1.000691711,0.364144128,1
20.09.2015,10:54:24.5444474,0.968670294,0.508202376,1.000525676,0.377913504,1
20.09.2015,10:54:24.5491968,0.928319844,0.508202376,1.000691711,0.377913504,1
20.09.2015,10:54:24.5540712,0.966206863,0.508358969,1.000525676,0.359747576,1
20.09.2015,10:54:24.5588954,0.932899036,0.50831888,1.000691711,0.369921904,1
20.09.2015,10:54:24.5637582,0.966274828,0.50831888,1.000525676,0.369921904,1
20.09.2015,10:54:24.5685668,0.950252422,0.508370035,1.000581021,0.36366968,1
