date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel
20.09.2015,14:04:17.3852814,1.55970343,0.811139844,1.028142797,0.600032656,0.367285697,0.370117808,0.075281694
20.09.2015,14:04:17.3901194,1.534261622,0.810776748,1.028308832,0.600032656,0.367570018,0.370117808,0.075178568
20.09.2015,14:04:17.3948160,1.556735065,0.810844855,1.028142797,0.596725577,0.367456289,0.370220933,0.074972317
20.09.2015,14:04:17.3997652,1.594527922,0.810788931,1.027976762,0.617629406,0.367399425,0.370324059,0.074869192
20.09.2015,14:04:17.4044582,1.551579097,0.810788931,1.028142797,0.617629406,0.367570018,0.370427184,0.074766066
20.09.2015,14:04:17.4092560,1.588724405,0.810831029,1.027921417,0.596107038,0.367399425,0.370427184,0.07466294
20.09.2015,14:04:17.4140448,1.550554867,0.810629373,1.028142797,0.613337488,0.367228833,0.370324059,0.07466294
20.09.2015,14:04:17.4189338,1.582679529,0.81071687,1.027976762,0.610203415,0.367115104,0.370220933,0.07466294
20.09.2015,14:04:17.4236602,1.536536446,0.81071687,1.028253487,0.610203415,0.367171968,0.370117808,0.07466294
20.09.2015,14:04:17.4285242,1.552222937,0.810575841,1.028142797,0.612870868,0.366944512,0.370014682,0.074456689
20.09.2015,14:04:17.4332152,1.559716109,0.810521353,1.028198142,0.602002973,0.366830783,0.370014682,0.074147312
20.09.2015,14:04:17.4381744,1.529811029,0.810521353,1.028308832,0.602002973,0.366887648,0.370014682,0.073941061
20.09.2015,14:04:17.4428844,1.538759342,0.810263502,1.028253487,0.594367395,0.366944512,0.370014682,0.07373481
20.09.2015,14:04:17.4477124,1.519364009,0.81014668,1.028364177,0.600651195,0.366887648,0.370014682,0.073631684
20.09.2015,14:04:17.4524940,1.562179,0.810049201,1.028142797,0.600478988,0.366773919,0.370014682,0.073631684
20.09.2015,14:04:17.4572684,1.495790437,0.810049201,1.028474867,0.600478988,0.367115104,0.369911556,0.073837935
20.09.2015,14:04:17.4620836,1.532828029,0.810298616,1.028253487,0.615656479,0.366944512,0.369911556,0.073941061
20.09.2015,14:04:17.4669156,1.52433462,0.810263885,1.028364177,0.592771844,0.366887648,0.369808431,0.074147312
20.09.2015,14:04:17.4718546,1.524544929,0.810263885,1.028308832,0.592771844,0.367115104,0.369911556,0.074353563
20.09.2015,14:04:17.4764978,1.513714459,0.810228883,1.028364177,0.606569601,0.367228833,0.369911556,0.074559815
20.09.2015,14:04:17.4812534,1.518759416,0.809968943,1.028308832,0.607644911,0.367342561,0.369911556,0.074766066
20.09.2015,14:04:17.4861062,1.568894585,0.810051035,1.028032107,0.616346639,0.367513154,0.370117808,0.074972317
20.09.2015,14:04:17.4909168,1.494707529,0.810051035,1.028364177,0.616346639,0.36774061,0.370324059,0.075178568
20.09.2015,14:04:17.4956150,1.548116223,0.810125822,1.028087452,0.608381982,0.367456289,0.370220933,0.075281694
20.09.2015,14:04:17.5005710,1.526028316,0.810215281,1.028253487,0.601048326,0.367342561,0.370014682,0.075487945
20.09.2015,14:04:17.5053008,1.555319459,0.810246854,1.028087452,0.603912586,0.367115104,0.369911556,0.075694196
20.09.2015,14:04:17.5100184,1.534116861,0.810165816,1.028253487,0.603912586,0.367001376,0.36960218,0.075900448
20.09.2015,14:04:17.5148348,1.544413525,0.810122872,1.028198142,0.597565526,0.366773919,0.369395928,0.076106699
20.09.2015,14:04:17.5197846,1.56913639,0.81015553,1.028142797,0.611742736,0.366603327,0.369395928,0.076106699
20.09.2015,14:04:17.5244874,1.527338982,0.81015553,1.028364177,0.611742736,0.366603327,0.369292803,0.076209824
20.09.2015,14:04:17.5292854,1.580871547,0.810015554,1.028087452,0.588533441,0.366603327,0.369189677,0.076416076
20.09.2015,14:04:17.5340276,1.553048406,0.809952407,1.028253487,0.591675342,0.366773919,0.369292803,0.076622327
20.09.2015,14:04:17.5389690,1.601884546,0.809804968,1.027976762,0.619841366,0.366773919,0.369395928,0.076931704
20.09.2015,14:04:17.5436986,1.533932734,0.809804968,1.028308832,0.619841366,0.367001376,0.369395928,0.077344206
20.09.2015,14:04:17.5484182,1.561237762,0.809887059,1.028142797,0.618103854,0.367001376,0.369395928,0.077653583
20.09.2015,14:04:17.5532932,1.568725995,0.809955469,1.028142797,0.591492591,0.367001376,0.369292803,0.078169211
20.09.2015,14:04:17.5581062,1.534471482,0.809955469,1.028253487,0.591492591,0.367228833,0.369292803,0.078684839
20.09.2015,14:04:17.5628900,1.541701244,0.810076198,1.028198142,0.612113774,0.367228833,0.369292803,0.079097341
20.09.2015,14:04:17.5676954,1.514884512,0.810082512,1.028364177,0.602292434,0.367228833,0.369189677,0.079303593
20.09.2015,14:04:17.5725760,1.549949614,0.809989897,1.028198142,0.599259481,0.36705824,0.369086552,0.079406718
20.09.2015,14:04:17.5772504,1.489945197,0.809989897,1.028530212,0.599259481,0.367285697,0.368983426,0.079509844
20.09.2015,14:04:17.5820840,1.529437316,0.809811347,1.028308832,0.599196221,0.367171968,0.368983426,0.079509844
20.09.2015,14:04:17.5868938,1.516300634,0.809667416,1.028419522,0.602448933,0.36705824,0.3688803,0.079612969
20.09.2015,14:04:17.5916424,1.520506916,0.809667416,1.028364177,0.602448933,0.367115104,0.3688803,0.079612969
20.09.2015,14:04:17.5965700,1.508940376,0.809645314,1.028419522,0.595530671,0.36705824,0.368777175,0.079716095
20.09.2015,14:04:17.6013042,1.496793101,0.809762137,1.028474867,0.604784165,0.367001376,0.368674049,0.079819221
20.09.2015,14:04:17.6060222,1.545461262,0.809852392,1.028253487,0.611921972,0.366944512,0.368674049,0.079819221
20.09.2015,14:04:17.6108552,1.490757725,0.809852392,1.028530212,0.611921972,0.367228833,0.368777175,0.080025472
20.09.2015,14:04:17.6157764,1.544953835,0.809946029,1.028253487,0.601664043,0.367115104,0.368777175,0.080128598
20.09.2015,14:04:17.6204626,1.540785641,0.810035487,1.028308832,0.596047292,0.367171968,0.368777175,0.080231723
20.09.2015,14:04:17.6253252,1.561732184,0.810035487,1.028142797,0.596047292,0.367399425,0.368983426,0.080437974
20.09.2015,14:04:17.6300302,1.54045954,0.810021088,1.028253487,0.614575473,0.367513154,0.368983426,0.0805411
20.09.2015,14:04:17.6349848,1.561013417,0.8099485,1.028087452,0.603329191,0.367456289,0.368983426,0.080644226
20.09.2015,14:04:17.6397256,1.584374243,0.809694859,1.027976762,0.609120971,0.367285697,0.369086552,0.080747351
20.09.2015,14:04:17.6445524,1.537958796,0.809694859,1.028198142,0.609120971,0.367399425,0.368983426,0.080850477
20.09.2015,14:04:17.6492168,1.567886802,0.809738664,1.028032107,0.609805486,0.367171968,0.3688803,0.080850477
20.09.2015,14:04:17.6541798,1.551196584,0.809835489,1.028198142,0.597379261,0.36705824,0.368777175,0.080850477
20.09.2015,14:04:17.6589096,1.596421381,0.810042822,1.027976762,0.603515456,0.366887648,0.3688803,0.080644226
20.09.2015,14:04:17.6637328,1.535688303,0.810042822,1.028308832,0.603515456,0.367001376,0.368777175,0.080437974
20.09.2015,14:04:17.6685186,1.562033516,0.810163918,1.028142797,0.61603034,0.366944512,0.368777175,0.080128598
20.09.2015,14:04:17.6732538,1.571789716,0.810265751,1.028142797,0.60160696,0.366830783,0.3688803,0.079922346
20.09.2015,14:04:17.6780932,1.528450469,0.810265751,1.028308832,0.60160696,0.36705824,0.3688803,0.079819221
20.09.2015,14:04:17.6829500,1.548959452,0.810262593,1.028198142,0.597959142,0.366887648,0.3688803,0.079612969
20.09.2015,14:04:17.6877264,1.509390501,0.810147876,1.028419522,0.599621467,0.366830783,0.368777175,0.079509844
20.09.2015,14:04:17.6925030,1.553782709,0.810080567,1.028198142,0.609370229,0.366773919,0.368777175,0.079406718
20.09.2015,14:04:17.6972956,1.490515016,0.810080567,1.028530212,0.609370229,0.366944512,0.368777175,0.079406718
20.09.2015,14:04:17.7021332,1.525561294,0.8098585,1.028308832,0.599565236,0.366830783,0.368674049,0.079406718
20.09.2015,14:04:17.7068792,1.514468779,0.80974273,1.028419522,0.591204408,0.366660191,0.368570923,0.079509844
20.09.2015,14:04:17.7117798,1.497477414,0.80974273,1.028474867,0.591204408,0.366660191,0.368467798,0.079509844
20.09.2015,14:04:17.7164354,1.515425973,0.809488451,1.028419522,0.605820389,0.366546463,0.368261547,0.079612969
20.09.2015,14:04:17.7213156,1.502810548,0.80956528,1.028474867,0.59985342,0.366546463,0.368158421,0.079819221
20.09.2015,14:04:17.7260434,1.54704484,0.809528444,1.028253487,0.609700852,0.366489598,0.368261547,0.079922346
20.09.2015,14:04:17.7309840,1.49093277,0.809528444,1.028530212,0.609700852,0.366773919,0.368261547,0.080231723
20.09.2015,14:04:17.7356298,1.552376244,0.809569043,1.028198142,0.602755753,0.366717055,0.368261547,0.080437974
20.09.2015,14:04:17.7405462,1.525797414,0.809375392,1.028364177,0.595984032,0.366660191,0.368261547,0.080644226
20.09.2015,14:04:17.7452238,1.562885339,0.809375392,1.028142797,0.595984032,0.366717055,0.368261547,0.080747351
20.09.2015,14:04:17.7501718,1.532370051,0.809296458,1.028308832,0.602123741,0.366717055,0.368158421,0.081056728
20.09.2015,14:04:17.7549320,1.538177327,0.809294593,1.028253487,0.599178649,0.366546463,0.368055295,0.081366105
20.09.2015,14:04:17.7597236,1.581411225,0.809340039,1.028087452,0.615174843,0.366262142,0.36795217,0.081572356
20.09.2015,14:04:17.7645190,1.529630823,0.809340039,1.028364177,0.615174843,0.366432734,0.367745919,0.081778607
20.09.2015,14:04:17.7692964,1.581958933,0.809183224,1.028087452,0.588656446,0.366319006,0.367745919,0.081984858
20.09.2015,14:04:17.7741498,1.545005944,0.808929743,1.028308832,0.601635502,0.366489598,0.367745919,0.082087984
20.09.2015,14:04:17.7789168,1.593996169,0.808816939,1.028032107,0.605223468,0.366603327,0.36795217,0.08219111
20.09.2015,14:04:17.7837208,1.550814312,0.808816939,1.028253487,0.605223468,0.366603327,0.36795217,0.082294235
20.09.2015,14:04:17.7884660,1.561142323,0.808792732,1.028142797,0.614097404,0.366546463,0.36795217,0.082397361
20.09.2015,14:04:17.7933020,1.558988832,0.808748928,1.028198142,0.602673696,0.36637587,0.367849044,0.082397361
20.09.2015,14:04:17.7981376,1.522865061,0.808748928,1.028364177,0.602673696,0.366432734,0.367745919,0.082500487
20.09.2015,14:04:17.8029528,1.541459286,0.808767872,1.028253487,0.59710865,0.366603327,0.367745919,0.082500487
20.09.2015,14:04:17.8077064,1.512512775,0.808672099,1.028419522,0.596890755,0.366603327,0.367745919,0.082500487
20.09.2015,14:04:17.8124922,1.562012952,0.808745213,1.028142797,0.599674184,0.366603327,0.367849044,0.082500487
20.09.2015,14:04:17.8172458,1.505609873,0.808745213,1.028419522,0.599674184,0.366830783,0.367849044,0.082500487
20.09.2015,14:04:17.8221228,1.538154084,0.808963006,1.028198142,0.614536228,0.366830783,0.367849044,0.082500487
20.09.2015,14:04:17.8269510,1.525534763,0.809035626,1.028308832,0.595516613,0.366773919,0.36795217,0.082500487
20.09.2015,14:04:17.8316896,1.516298715,0.809035626,1.028308832,0.595516613,0.366773919,0.36795217,0.082500487
20.09.2015,14:04:17.8364112,1.514883095,0.808987085,1.028308832,0.608342738,0.366830783,0.367849044,0.082500487
20.09.2015,14:04:17.8413274,1.495486814,0.808654574,1.028419522,0.606590582,0.366546463,0.367642793,0.082500487
20.09.2015,14:04:17.8460718,1.547065263,0.808614581,1.028198142,0.61368973,0.36637587,0.367539667,0.082603612
20.09.2015,14:04:17.8508466,1.485131697,0.808614581,1.028530212,0.61368973,0.366432734,0.367436542,0.082706738
20.09.2015,14:04:17.8557280,1.543656697,0.808504201,1.028253487,0.589359332,0.366262142,0.367333416,0.082809863
20.09.2015,14:04:17.8605158,1.524602241,0.808588844,1.028419522,0.605881039,0.366148413,0.367230291,0.082809863
20.09.2015,14:04:17.8652546,1.549283157,0.808588844,1.028253487,0.605881039,0.366262142,0.367333416,0.082912989
20.09.2015,14:04:17.8700668,1.553195132,0.808552008,1.028253487,0.596823981,0.366262142,0.367230291,0.08311924
20.09.2015,14:04:17.8749046,1.554233629,0.808459392,1.028198142,0.596662317,0.366148413,0.367230291,0.08311924
20.09.2015,14:04:17.8796948,1.587314034,0.808604694,1.028032107,0.613744203,0.366034685,0.367230291,0.08311924
20.09.2015,14:04:17.8844872,1.540788825,0.808604694,1.028253487,0.613744203,0.366091549,0.367230291,0.08311924
20.09.2015,14:04:17.8893220,1.589504011,0.808483662,1.027976762,0.595042165,0.366148413,0.367127165,0.083222366
20.09.2015,14:04:17.8940926,1.547119338,0.808538151,1.028198142,0.607943158,0.36637587,0.367333416,0.08311924
20.09.2015,14:04:17.8989696,1.595485909,0.808417661,1.027921417,0.610463483,0.366489598,0.367642793,0.082809863
20.09.2015,14:04:17.9036570,1.558277978,0.808417661,1.028087452,0.610463483,0.366887648,0.367849044,0.082603612
20.09.2015,14:04:17.9084320,1.569228007,0.808691298,1.027921417,0.615408286,0.367001376,0.368158421,0.082294235
20.09.2015,14:04:17.9133062,1.583352244,0.808893608,1.027866073,0.605747118,0.366944512,0.368261547,0.082087984
20.09.2015,14:04:17.9180922,1.538585358,0.808893608,1.028032107,0.605747118,0.367001376,0.368261547,0.081984858
20.09.2015,14:04:17.9228928,1.558315802,0.809052561,1.027921417,0.618189531,0.366944512,0.368261547,0.081881733
20.09.2015,14:04:17.9277096,1.510982467,0.80917675,1.028198142,0.607212636,0.366717055,0.368158421,0.081572356
20.09.2015,14:04:17.9324288,1.574385098,0.809300939,1.027921417,0.604365948,0.366603327,0.368158421,0.081262979
20.09.2015,14:04:17.9372480,1.498523046,0.809300939,1.028308832,0.604365948,0.366773919,0.368158421,0.081056728
20.09.2015,14:04:17.9421334,1.52556528,0.809262477,1.028142797,0.616427098,0.366603327,0.368055295,0.080747351
20.09.2015,14:04:17.9469242,1.530771136,0.809164599,1.028198142,0.594268991,0.366489598,0.368055295,0.080437974
