date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_PSS_VSL
20.09.2015,13:38:02.3133710,1.209890471,0.633248273,0.987242893,0.470919321,0.613848753,0.009281305,0.605966073,0
20.09.2015,13:38:02.3180826,1.217077263,0.633250378,0.987242893,0.469306411,0.61407621,0.009178179,0.605966073,0
20.09.2015,13:38:02.3229522,1.198033275,0.633250378,0.987298238,0.469306411,0.613905617,0.009075054,0.606069199,0
20.09.2015,13:38:02.3276148,1.225450376,0.633296398,0.987187548,0.466894979,0.614246802,0.008971928,0.606069199,0
20.09.2015,13:38:02.3325856,1.205650144,0.633301166,0.987298238,0.466125852,0.614133074,0.008868802,0.606172325,0
20.09.2015,13:38:02.3372194,1.253272302,0.633405359,0.987076858,0.462172118,0.614246802,0.008971928,0.606172325,0
20.09.2015,13:38:02.3421364,1.205786862,0.633405359,0.987298238,0.462172118,0.614360531,0.008971928,0.60627545,0
20.09.2015,13:38:02.3468196,1.248274777,0.63347616,0.987076858,0.459926398,0.614189938,0.008971928,0.60627545,0
20.09.2015,13:38:02.3517736,1.232088894,0.633353869,0.987187548,0.471026351,0.614417395,0.008971928,0.60627545,0
20.09.2015,13:38:02.3564768,1.237014512,0.633353869,0.987132203,0.471026351,0.614246802,0.008971928,0.606378576,0
20.09.2015,13:38:02.3613170,1.242940431,0.633291774,0.987132203,0.458467909,0.614587988,0.008868802,0.606378576,0
20.09.2015,13:38:02.3661120,1.226856159,0.633194948,0.987187548,0.46314913,0.614360531,0.008868802,0.606481701,0
20.09.2015,13:38:02.3708882,1.266193237,0.633043236,0.987021513,0.470865806,0.614474259,0.008868802,0.606481701,0
20.09.2015,13:38:02.3756938,1.220575457,0.633043236,0.987242893,0.470865806,0.614417395,0.008868802,0.606481701,0
20.09.2015,13:38:02.3805070,1.252458321,0.633077967,0.987076858,0.467883067,0.614417395,0.008765677,0.606481701,0
20.09.2015,13:38:02.3853088,1.224848623,0.633060187,0.987242893,0.466395504,0.614474259,0.008662551,0.606481701,0
20.09.2015,13:38:02.3900580,1.253372016,0.633060187,0.987076858,0.466395504,0.614474259,0.008662551,0.606584827,0
20.09.2015,13:38:02.3949092,1.232331219,0.633238418,0.987187548,0.46364115,0.614815444,0.008662551,0.606687953,0
20.09.2015,13:38:02.3997690,1.222460639,0.633181585,0.987187548,0.465254273,0.61475858,0.008662551,0.606894204,0
20.09.2015,13:38:02.4044880,1.234083306,0.633115345,0.987132203,0.470616068,0.615099765,0.008765677,0.60699733,0
20.09.2015,13:38:02.4093664,1.205636109,0.633115345,0.987242893,0.470616068,0.615042901,0.008765677,0.607203581,0
20.09.2015,13:38:02.4140878,1.238635452,0.633168956,0.987076858,0.473106308,0.615327222,0.008868802,0.607306706,0
20.09.2015,13:38:02.4188414,1.206163269,0.633198425,0.987242893,0.462305667,0.615384086,0.008868802,0.607409832,0
20.09.2015,13:38:02.4237512,1.233185201,0.633211931,0.987076858,0.464906345,0.615554678,0.008971928,0.607512958,0
20.09.2015,13:38:02.4285598,1.202107397,0.633211931,0.987242893,0.464906345,0.615895864,0.008868802,0.607719209,0
20.09.2015,13:38:02.4333058,1.219950181,0.633432021,0.987132203,0.472810191,0.615838999,0.008868802,0.607822334,0
20.09.2015,13:38:02.4380656,1.214196161,0.633437283,0.987187548,0.469784373,0.616066456,0.008971928,0.60792546,0
20.09.2015,13:38:02.4429478,1.205721202,0.633437283,0.987187548,0.469784373,0.615952728,0.008971928,0.608028586,0
20.09.2015,13:38:02.4477568,1.231522075,0.633487881,0.987076858,0.469970318,0.616237049,0.008971928,0.60792546,0
20.09.2015,13:38:02.4525102,1.207085241,0.633370995,0.987187548,0.469243151,0.61612332,0.008971928,0.608028586,0
20.09.2015,13:38:02.4572746,1.252988652,0.633412041,0.986966168,0.467675715,0.616237049,0.008868802,0.608131711,0
20.09.2015,13:38:02.4621232,1.210429249,0.633412041,0.987187548,0.467675715,0.616521369,0.008765677,0.608234837,0
20.09.2015,13:38:02.4668710,1.26472008,0.633629818,0.986910823,0.460495735,0.616635098,0.008765677,0.608337962,0
20.09.2015,13:38:02.4717730,1.232443458,0.633722131,0.987076858,0.472785217,0.61680569,0.008765677,0.608544214,0
20.09.2015,13:38:02.4765008,1.248122839,0.633722131,0.986966168,0.472785217,0.616748826,0.008868802,0.608647339,0
20.09.2015,13:38:02.4812980,1.254391398,0.63385053,0.986966168,0.465043407,0.616919419,0.008868802,0.608647339,0
20.09.2015,13:38:02.4860654,1.235578493,0.63390631,0.987021513,0.468361029,0.616748826,0.008868802,0.608647339,0
20.09.2015,13:38:02.4909088,1.274551968,0.633781308,0.986855478,0.474751008,0.616862554,0.008971928,0.608647339,0
20.09.2015,13:38:02.4956402,1.225389799,0.633781308,0.987076858,0.474751008,0.616862554,0.008868802,0.608750465,0
20.09.2015,13:38:02.5005482,1.259395569,0.633900235,0.986910823,0.470121758,0.616976283,0.008868802,0.60885359,0
20.09.2015,13:38:02.5052568,1.233887612,0.633934376,0.987076858,0.472093087,0.616919419,0.008868802,0.60885359,0
20.09.2015,13:38:02.5100402,1.261566992,0.634852704,0.986910823,0.46743322,0.616748826,0.008971928,0.60885359,0
20.09.2015,13:38:02.5148308,1.230422518,0.634112304,0.987076858,0.46743322,0.61680569,0.008971928,0.608750465,0
20.09.2015,13:38:02.5197706,1.237038111,0.634138615,0.987021513,0.469320468,0.616578234,0.009075054,0.608750465,0
20.09.2015,13:38:02.5244576,1.250513601,0.634032844,0.986966168,0.472456991,0.616748826,0.008971928,0.608647339,0
20.09.2015,13:38:02.5292464,1.208269765,0.634032844,0.987132203,0.472456991,0.616691962,0.008971928,0.608750465,0
20.09.2015,13:38:02.5340802,1.247264023,0.633999165,0.986966168,0.464224545,0.616862554,0.008971928,0.608750465,0
20.09.2015,13:38:02.5389216,1.201405704,0.633874322,0.987187548,0.474726034,0.616691962,0.008971928,0.608750465,0
20.09.2015,13:38:02.5436592,1.233570435,0.633819658,0.987021513,0.468213423,0.616691962,0.009075054,0.608750465,0
20.09.2015,13:38:02.5484180,1.19350132,0.633819658,0.987242893,0.468213423,0.616748826,0.008971928,0.608647339,0
20.09.2015,13:38:02.5532942,1.220152821,0.633687049,0.987076858,0.460239182,0.616691962,0.008971928,0.608647339,0
20.09.2015,13:38:02.5581078,1.218045889,0.633661408,0.987132203,0.471254683,0.61680569,0.008868802,0.608647339,0
20.09.2015,13:38:02.5628736,1.208397425,0.633661408,0.987132203,0.471254683,0.616635098,0.008868802,0.608647339,0
20.09.2015,13:38:02.5677142,1.235033964,0.633632992,0.987021513,0.45873852,0.61680569,0.008868802,0.608544214,0
20.09.2015,13:38:02.5725498,1.209924377,0.633658251,0.987132203,0.469939008,0.616521369,0.008971928,0.608544214,0
20.09.2015,13:38:02.5773054,1.259685581,0.633634746,0.986910823,0.480469997,0.616521369,0.009075054,0.608441088,0
